,node,eigenvector_centrality,betweenness_centrality,degree_centrality
0,King,0.310495915497257,0.04867583396995162,0.2647058823529412
1,Westmorland,0.153353083449317,0.0,0.08823529411764705
2,Falstaff,0.35952998867150393,0.1830404889228418,0.3529411764705882
3,Prince,0.42060160105125677,0.3959129106187931,0.47058823529411764
4,Poins,0.15167921726082517,0.0029708853238265,0.11764705882352941
5,Worcester,0.2648203148369441,0.05461336049571343,0.2647058823529412
6,Northumberland,0.12873795585234415,0.0,0.08823529411764705
7,Hotspur,0.34025489624050026,0.3566972243442831,0.4411764705882353
8,Blunt,0.1606444526312756,0.0,0.11764705882352941
9,1Carrier,0.031666919558004485,0.0552584670231729,0.08823529411764705
10,Ostler,0.00445293320406302,0.0,0.029411764705882353
11,2Carrier,0.03111792234995371,0.0,0.058823529411764705
12,Gadshill,0.1896347665907405,0.2107843137254902,0.23529411764705882
13,Chamberlain,0.02666498914593124,0.0,0.029411764705882353
14,Bardolph,0.2181209352406233,0.011734997029114675,0.20588235294117646
15,Peto,0.20549659848748975,0.007575757575757575,0.1764705882352941
16,1Traveler,0.13678407540640622,0.0017825311942959,0.11764705882352941
17,2Traveler,0.13678407540640622,0.0017825311942959,0.11764705882352941
18,LadyPercy,0.047843110997548975,0.0,0.029411764705882353
19,Servant,0.047843110997548975,0.0,0.029411764705882353
20,Francis,0.08046834649305053,0.0,0.058823529411764705
21,Vintner,0.05914073253876224,0.0,0.029411764705882353
22,Hostess,0.14036462462735363,0.0,0.08823529411764705
23,Sheriff,0.06881702641680776,0.0,0.058823529411764705
24,3Carrier,0.06881702641680776,0.0,0.058823529411764705
25,Mortimer,0.09365826184511213,0.00089126559714795,0.08823529411764705
26,Glendower,0.06101236894181176,0.0,0.058823529411764705
27,Douglas,0.2269160607038087,0.014090484678719975,0.1764705882352941
28,1Messenger,0.08507931439315834,0.0,0.058823529411764705
29,Vernon,0.11698581117208981,0.0,0.08823529411764705
30,Archbishop,6.643325333751816e-10,0.0,0.029411764705882353
31,SirMichael,6.643325333751816e-10,0.0,0.029411764705882353
32,2Messenger,0.047843110997548975,0.0,0.029411764705882353
33,3Messenger,0.047843110997548975,0.0,0.029411764705882353
34,Lancaster,0.153353083449317,0.0,0.08823529411764705
