,node,eigenvector_centrality,betweenness_centrality,degree_centrality
0,Canterbury,0.16670711099401223,0.013037350246652568,0.09090909090909091
1,Ely,0.06972743856607859,0.0,0.045454545454545456
2,Exeter,0.3155442731014889,0.1219344608879492,0.25
3,KingHenry,0.5338597152945613,0.7189570119802678,0.5681818181818182
4,Westmorland,0.23385166713203945,0.012385482734319938,0.13636363636363635
5,Ambassador,0.07718975816431158,0.0,0.022727272727272728
6,Bardolph,0.059455289092991775,0.0,0.09090909090909091
7,Nym,0.059455289092991775,0.0,0.09090909090909091
8,Pistol,0.17986053291368473,0.16571529245947858,0.18181818181818182
9,Hostess,0.059455289092991775,0.0,0.09090909090909091
10,Boy,0.11242163408498225,0.013847780126849896,0.1590909090909091
11,Bedford,0.12440845858542132,0.0010570824524312897,0.09090909090909091
12,Scroop,0.15656020009480467,0.003946441155743482,0.09090909090909091
13,Cambridge,0.11669980886076012,0.0,0.06818181818181818
14,Grey,0.11669980886076012,0.0,0.06818181818181818
15,Dauphin,0.10936803098828893,0.07492952783650461,0.13636363636363635
16,FrenchKing,0.23231605512825376,0.2658033826638477,0.18181818181818182
17,Constable,0.07565986372953286,0.14485553206483442,0.18181818181818182
18,1Messenger,0.03358993557583603,0.0,0.022727272727272728
19,Fluellen,0.19024987509214147,0.10200845665961947,0.18181818181818182
20,Gower,0.1867748810712997,0.05655391120507397,0.1590909090909091
21,Jamy,0.06372870548671139,0.0,0.06818181818181818
22,Macmorris,0.06372870548671139,0.0,0.06818181818181818
23,Governor,0.07718975816431158,0.0,0.022727272727272728
24,Alice,0.13156982091241498,0.0,0.06818181818181818
25,Katherine,0.13156982091241498,0.0,0.06818181818181818
26,Brittany,0.060342495371512456,0.0,0.06818181818181818
27,Montjoy,0.10180443726201678,0.0,0.045454545454545456
28,Gloucester,0.1702406681194382,0.012138830162085976,0.11363636363636365
29,Orleans,0.037308609022141656,0.005461592670894996,0.11363636363636365
30,Rambures,0.035245306067346924,0.0019027484143763216,0.09090909090909091
31,2Messenger,0.02142969184175537,0.0,0.06818181818181818
32,Erpingham,0.10180443726201678,0.0,0.045454545454545456
33,Court,0.09339517106882754,0.0,0.045454545454545456
34,Bates,0.11207966849329233,0.0005285412262156448,0.06818181818181818
35,Williams,0.14790926475296173,0.00306553911205074,0.09090909090909091
36,Grandpre,0.010939395803038899,0.0,0.022727272727272728
37,Salisbury,0.1408012965310637,0.005972515856236786,0.06818181818181818
38,York,0.07718975816431158,0.0,0.022727272727272728
39,FrenchSoldier,0.04226154479568971,0.0,0.045454545454545456
40,Bourbon,0.016333706191981663,0.0,0.045454545454545456
41,Warwick,0.027508274986046567,0.0,0.022727272727272728
42,Herald,0.07718975816431158,0.0,0.022727272727272728
43,QueenIsabel,0.24453496593033597,0.022198731501057084,0.1590909090909091
44,Burgundy,0.11254643953227486,0.0,0.045454545454545456
