,node,eigenvector_centrality,betweenness_centrality,degree_centrality
0,Chatillon,0.11048042043470586,0.0,0.10714285714285714
1,KingJohn,0.415529124477519,0.39263353489543973,0.7142857142857142
2,QueenEleanor,0.24690501205813387,0.03236646510456034,0.3214285714285714
3,Essex,0.07650489060013044,0.0,0.07142857142857142
4,Bastard,0.34941357298082104,0.2594293272864701,0.5714285714285714
5,RobertFaulc,0.0883438911130458,0.0,0.07142857142857142
6,LadyFaulc,0.040354124644980505,0.0,0.03571428571428571
7,Gurney,0.040354124644980505,0.0,0.03571428571428571
8,Arthur,0.2301695716642672,0.046119929453262785,0.2857142857142857
9,KingPhilip,0.2941853584467601,0.09991496598639456,0.39285714285714285
10,Lewis,0.2829693654619046,0.08493008314436885,0.3571428571428571
11,Austria,0.2136954489154116,0.000992063492063492,0.21428571428571427
12,Constance,0.26897264446791774,0.014581758629377673,0.3214285714285714
13,Blanche,0.15208791567573554,0.000992063492063492,0.14285714285714285
14,Citizen,0.1533670828545918,0.06252204585537918,0.17857142857142855
15,FrenchHerald,0.03650806760948164,0.006261022927689595,0.07142857142857142
16,EnglishHerald,0.021928720110873347,0.0013227513227513227,0.07142857142857142
17,Salisbury,0.25415735668860473,0.06857205845301084,0.3571428571428571
18,Pandulph,0.23925832249880905,0.0024029982363315697,0.25
19,Hubert,0.18258196521037315,0.03845427059712774,0.25
20,Executioner,0.04766916493234274,0.0,0.07142857142857142
21,Pembroke,0.1731826729585804,0.031361803980851595,0.25
22,1Messenger,0.04798976646806568,0.0,0.03571428571428571
23,Peter,0.04798976646806568,0.0,0.03571428571428571
24,Bigot,0.1107950845991456,0.0,0.14285714285714285
25,2Messenger,0.04798976646806568,0.0,0.03571428571428571
26,Melun,0.04935424339380899,0.0,0.07142857142857142
27,3Messenger,0.032680278122621344,0.0,0.03571428571428571
28,PrinceHenry,0.1376981345068544,0.0,0.14285714285714285
